size acc f1
0.1 0.9555555555555556 0.9555555555555556
0.125 0.9621212121212122 0.962116320117095
0.15 0.9453125 0.9457290962361956
0.175 0.9354838709677419 0.9357336430507162
0.19999999999999998 0.9504132231404959 0.9506097560975609
0.22499999999999998 0.9658119658119658 0.9658119658119658
0.24999999999999997 0.9380530973451328 0.9385858585858586
0.27499999999999997 0.944954128440367 0.9451951951951951
0.29999999999999993 0.9339622641509434 0.9342201045595924
0.32499999999999996 0.9509803921568627 0.9509697887374721
0.35 0.9387755102040817 0.9393939393939394
0.3749999999999999 0.9468085106382979 0.947089947089947
0.3999999999999999 0.945054945054945 0.9453551912568307
0.42499999999999993 0.9540229885057471 0.953968253968254
0.44999999999999996 0.9518072289156626 0.9523201362281822
0.47499999999999987 0.9493670886075949 0.949667616334283
0.4999999999999999 0.9473684210526315 0.9476923076923076
0.5249999999999999 0.9444444444444444 0.9443478260869566
0.5499999999999999 0.9411764705882353 0.9419191919191917
0.5749999999999998 0.9375 0.937950937950938
0.5999999999999999 0.9344262295081968 0.9349206349206348
0.6249999999999999 0.9298245614035088 0.9296296296296296
0.6499999999999998 0.9245283018867925 0.9256965944272446
0.6749999999999998 0.9183673469387755 0.9191176470588235
0.6999999999999998 0.9130434782608695 0.9138888888888889
0.7249999999999999 0.9285714285714286 0.9284802043422733
0.7499999999999999 0.9210526315789473 0.9229629629629629
0.7749999999999998 0.9117647058823529 0.9130434782608695
0.7999999999999998 0.9032258064516129 0.9047619047619048
0.8249999999999998 0.9629629629629629 0.9628482972136223
0.8499999999999998 0.9130434782608695 0.9166666666666666
0.8749999999999998 0.8947368421052632 0.8968253968253969
0.8999999999999998 0.875 0.8777777777777779
0.9249999999999998 0.9166666666666666 0.9153439153439153
